Country,Year,Value
Hungary,1998,12.2
Hungary,1999,12.2
Hungary,2000,12.0
Hungary,2001,13.2
Hungary,2002,13.3
Hungary,2003,13.2
Hungary,2004,13.2
Hungary,2005,13.0
Hungary,2006,13.2
Hungary,2007,12.6
Hungary,2008,11.8
Hungary,2009,11.5
Hungary,2010,10.8
Hungary,2011,11.4
Hungary,2012,11.1
Hungary,2013,10.6
Hungary,2014,10.9
Hungary,2015,10.8
Hungary,2016,11.1
Hungary,2017,10.7
Hungary,2018,11.4
Hungary,2019,10.7
Hungary,2020,10.4
Iceland,1995,4.7
Iceland,1996,4.8
Iceland,1997,5.1
Iceland,1998,5.5
Iceland,1999,5.9
Iceland,2000,6.2
Iceland,2001,6.4
Iceland,2002,6.6
Iceland,2003,6.6
Iceland,2004,6.8
Iceland,2005,7.1
Iceland,2006,7.2
Iceland,2007,7.5
Iceland,2008,7.2
Iceland,2009,7.2
Iceland,2010,6.8
Iceland,2011,6.8
Iceland,2012,6.8
Iceland,2013,6.8
Iceland,2014,7.0
Iceland,2015,7.7
Iceland,2016,7.5
Iceland,2017,7.7
Iceland,2018,7.7
Iceland,2019,7.4
Iceland,2020,7.4
Ireland,1995,11.5
Ireland,1996,12.2
Ireland,1997,12.8
Ireland,1998,13.2
Ireland,1999,13.8
Ireland,2000,14.2
Ireland,2001,14.5
Ireland,2002,14.3
Ireland,2003,13.5
Ireland,2004,13.6
Ireland,2005,13.4
Ireland,2006,13.4
Ireland,2007,13.2
Ireland,2008,12.2
Ireland,2009,11.0
Ireland,2010,11.6
Ireland,2011,11.7
Ireland,2012,11.5
Ireland,2013,10.6
Ireland,2014,10.8
Ireland,2015,10.7
Ireland,2016,11.2
Ireland,2017,11.0
Ireland,2018,11.0
Ireland,2019,10.8
Ireland,2020,10.1
Israel,1995,1.5
Israel,1996,1.6
Israel,1997,2.0
Israel,1998,2.1
Israel,1999,2.0
Israel,2000,2.6
Israel,2001,2.8
Israel,2002,2.8
Israel,2003,2.6
Israel,2004,2.4
Israel,2005,2.5
Israel,2006,2.3
Israel,2007,2.5
Israel,2008,2.6
Israel,2009,2.7
Israel,2010,2.8
Israel,2011,2.8
Israel,2012,2.9
Israel,2013,2.9
Israel,2014,2.7
Israel,2015,2.7
Israel,2016,2.7
Israel,2017,2.9
Israel,2018,3.0
Israel,2019,3.1
Israel,2020,2.5
Italy,1995,9.6
Italy,1996,9.1
Italy,1997,9.1
Italy,1998,9.0
Italy,1999,8.9
Italy,2000,9.8
Italy,2001,9.7
Italy,2002,9.3
Italy,2003,9.3
Italy,2004,9.0
Italy,2005,8.7
Italy,2006,8.4
Italy,2007,8.4
Italy,2008,8.0
Italy,2009,7.3
Italy,2010,7.0
Italy,2011,7.0
Italy,2012,7.5
Italy,2013,7.4
Italy,2014,7.6
Italy,2015,7.1
Italy,2016,7.1
Italy,2017,7.4
Italy,2018,7.8
Italy,2019,7.7
Italy,2020,8.3
Japan,1995,8.9
Japan,1996,9.0
Japan,1997,8.8
Japan,1998,8.7
Japan,1999,8.8
Japan,2000,8.6
Japan,2001,8.6
Japan,2002,8.4
Japan,2003,8.4
Japan,2004,8.2
Japan,2005,8.5
Japan,2006,7.9
Japan,2007,7.7
Japan,2008,7.5
Japan,2009,7.4
Japan,2010,7.3
Japan,2011,7.3
Japan,2012,7.2
Japan,2013,7.4
Japan,2014,7.1
Japan,2015,7.2
Japan,2016,7.2
Japan,2017,7.2
Japan,2018,7.2
Japan,2019,7.1
Japan,2020,6.7
Latvia,1995,9.1
Latvia,1996,8.4
Latvia,1997,8.4
Latvia,1998,8.9
Latvia,1999,8.8
Latvia,2000,7.1
Latvia,2001,6.7
Latvia,2002,7.4
Latvia,2003,8.2
Latvia,2004,8.8
Latvia,2005,9.9
Latvia,2006,10.4
Latvia,2007,12.1
Latvia,2008,11.8
Latvia,2009,9.9
Latvia,2010,9.8
Latvia,2011,10.1
Latvia,2012,10.2
Latvia,2013,10.4
Latvia,2014,10.6
Latvia,2015,10.8
Latvia,2016,11.3
Latvia,2017,10.9
Latvia,2018,11.0
Latvia,2019,11.6
Latvia,2020,12.1
Lithuania,1995,7.9
Lithuania,1996,7.9
Lithuania,1997,8.7
Lithuania,1998,8.0
Lithuania,1999,8.6
Lithuania,2000,9.7
Lithuania,2001,10.5
Lithuania,2002,11.1
Lithuania,2003,11.3
Lithuania,2004,12.2
Lithuania,2005,12.5
Lithuania,2006,13.2
Lithuania,2007,13.9
Lithuania,2008,13.9
Lithuania,2009,13.1
Lithuania,2010,13.5
Lithuania,2011,14.7
Lithuania,2012,14.7
Lithuania,2013,14.5
Lithuania,2014,14.2
Lithuania,2015,14.0
Lithuania,2016,13.2
Lithuania,2017,12.3
Lithuania,2018,11.2
Lithuania,2019,11.1
Lithuania,2020,11.4
Luxembourg,1995,13.7
Luxembourg,1996,13.4
Luxembourg,1997,13.2
Luxembourg,1998,13.0
Luxembourg,1999,13.0
Luxembourg,2000,13.4
Luxembourg,2001,13.3
Luxembourg,2002,13.1
Luxembourg,2003,12.7
Luxembourg,2004,12.5
Luxembourg,2005,12.3
Luxembourg,2006,12.4
Luxembourg,2007,12.2
Luxembourg,2008,12.0
Luxembourg,2009,11.9
Luxembourg,2010,11.9
Luxembourg,2011,11.8
Luxembourg,2012,11.8
Luxembourg,2013,11.4
Luxembourg,2014,11.6
Luxembourg,2015,11.5
Luxembourg,2016,11.4
Luxembourg,2017,11.3
Luxembourg,2018,11.1
Luxembourg,2019,11.0
Luxembourg,2020,12.3
Mexico,1995,5.1
Mexico,1996,5.3
Mexico,1997,4.8
Mexico,1998,4.9
Mexico,1999,4.9
Mexico,2000,5.2
Mexico,2001,5.0
Mexico,2002,4.9
Mexico,2003,5.0
Mexico,2004,5.0
Mexico,2005,5.0
Mexico,2006,5.2
Mexico,2007,4.1
Mexico,2008,4.0
Mexico,2009,4.3
Mexico,2010,4.0
Mexico,2011,4.0
Mexico,2012,3.9
Mexico,2013,3.8
Mexico,2014,4.0
Mexico,2015,4.3
Mexico,2016,4.4
Mexico,2017,4.7
Mexico,2018,4.8
Mexico,2019,4.9
Mexico,2020,4.2
Netherlands,1995,9.8
Netherlands,1996,9.9
Netherlands,1997,10.1
Netherlands,1998,9.9
Netherlands,1999,10.1
Netherlands,2000,10.1
Netherlands,2001,10.0
Netherlands,2002,9.8
Netherlands,2003,9.7
Netherlands,2004,9.6
Netherlands,2005,9.6
Netherlands,2006,9.6
Netherlands,2007,9.6
Netherlands,2008,9.7
Netherlands,2009,9.4
Netherlands,2010,9.1
Netherlands,2011,9.0
Netherlands,2012,9.1
Netherlands,2013,8.7
Netherlands,2014,8.4
Netherlands,2015,8.3
Netherlands,2016,8.2
Netherlands,2017,8.3
Netherlands,2018,8.3
Netherlands,2019,8.2
Netherlands,2020,7.8
New Zealand,1995,9.3
New Zealand,1996,8.8
New Zealand,1997,8.7
New Zealand,1998,8.7
New Zealand,1999,8.9
New Zealand,2000,8.9
New Zealand,2001,8.7
New Zealand,2002,9.1
New Zealand,2003,8.9
New Zealand,2004,9.1
New Zealand,2005,9.3
New Zealand,2006,9.3
New Zealand,2007,9.2
New Zealand,2008,9.5
New Zealand,2009,9.3
New Zealand,2010,9.6
New Zealand,2011,9.5
New Zealand,2012,9.2
New Zealand,2013,9.2
New Zealand,2014,9.1
New Zealand,2015,8.7
New Zealand,2016,8.9
New Zealand,2017,8.8
New Zealand,2018,8.8
New Zealand,2019,8.8
New Zealand,2020,8.7
Norway,1995,4.8
Norway,1996,5.0
Norway,1997,5.3
Norway,1998,5.2
Norway,1999,5.5
Norway,2000,5.7
Norway,2001,5.5
Norway,2002,5.9
Norway,2003,6.0
Norway,2004,6.2
Norway,2005,6.4
Norway,2006,6.5
Norway,2007,6.6
Norway,2008,6.8
Norway,2009,6.7
Norway,2010,6.6
Norway,2011,6.4
Norway,2012,6.2
Norway,2013,6.2
Norway,2014,6.1
Norway,2015,6.0
Norway,2016,6.0
Norway,2017,6.0
Norway,2018,6.0
Norway,2019,6.1
Norway,2020,7.2
Poland,1995,8.1
Poland,1996,8.1
Poland,1997,8.6
Poland,1998,8.4
Poland,1999,8.3
Poland,2000,8.4
Poland,2001,7.8
Poland,2002,8.1
Poland,2003,9.1
Poland,2004,9.2
Poland,2005,9.1
Poland,2006,9.9
Poland,2007,10.3
Poland,2008,10.8
Poland,2009,10.2
Poland,2010,10.0
Poland,2011,10.3
Poland,2012,10.2
Poland,2013,10.8
Poland,2014,10.5
Poland,2015,10.5
Poland,2016,10.5
Poland,2017,10.6
Poland,2018,10.7
Poland,2019,11.0
Poland,2020,10.9
Portugal,1995,12.8
Portugal,1996,12.1
Portugal,1997,11.8
Portugal,1998,11.7
Portugal,1999,13.2
Portugal,2000,12.8
Portugal,2001,12.6
Portugal,2002,12.5
Portugal,2003,12.2
Portugal,2004,12.3
Portugal,2005,12.0
Portugal,2006,11.8
Portugal,2007,11.5
Portugal,2008,11.5
Portugal,2009,11.5
Portugal,2010,11.3
Portugal,2011,10.9
Portugal,2012,9.8
Portugal,2013,9.5
Portugal,2014,10.2
Portugal,2015,10.3
Portugal,2016,10.4
Portugal,2017,10.4
Portugal,2018,10.4
Portugal,2019,10.4
Portugal,2020,11.4
Slovakia,1995,10.3
Slovakia,1996,10.7
Slovakia,1997,10.8
Slovakia,1998,10.0
Slovakia,1999,10.0
Slovakia,2000,11.0
Slovakia,2001,10.8
Slovakia,2002,10.8
Slovakia,2003,9.9
Slovakia,2004,10.1
Slovakia,2005,11.0
Slovakia,2006,10.6
Slovakia,2007,10.7
Slovakia,2008,11.2
Slovakia,2009,10.7
Slovakia,2010,10.1
Slovakia,2011,10.2
Slovakia,2012,10.1
Slovakia,2013,9.9
Slovakia,2014,10.1
Slovakia,2015,10.2
Slovakia,2016,9.9
Slovakia,2017,9.7
Slovakia,2018,10.1
Slovakia,2019,10.3
Slovakia,2020,10.2
Slovenia,1995,13.4
Slovenia,1996,12.0
Slovenia,1997,11.2
Slovenia,1998,8.3
Slovenia,1999,10.6
Slovenia,2000,11.2
Slovenia,2001,13.0
Slovenia,2002,11.6
Slovenia,2003,11.2
Slovenia,2004,13.5
Slovenia,2005,10.3
Slovenia,2006,12.2
Slovenia,2007,11.0
Slovenia,2008,11.0
Slovenia,2009,10.5
Slovenia,2010,10.3
Slovenia,2011,10.6
Slovenia,2012,11.0
Slovenia,2013,9.5
Slovenia,2014,10.9
Slovenia,2015,11.5
Slovenia,2016,10.5
Slovenia,2017,10.1
Slovenia,2018,10.0
Slovenia,2019,11.1
Slovenia,2020,9.8
South Korea,1995,8.9
South Korea,1996,9.1
South Korea,1997,8.9
South Korea,1998,8.7
South Korea,1999,9.2
South Korea,2000,8.9
South Korea,2001,8.5
South Korea,2002,9.2
South Korea,2003,9.3
South Korea,2004,9.3
South Korea,2005,9.0
South Korea,2006,9.2
South Korea,2007,9.3
South Korea,2008,9.5
South Korea,2009,8.9
South Korea,2010,8.9
South Korea,2011,8.9
South Korea,2012,9.0
South Korea,2013,8.7
South Korea,2014,8.9
South Korea,2015,9.1
South Korea,2016,8.7
South Korea,2017,8.7
South Korea,2018,8.5
South Korea,2019,8.3
South Korea,2020,7.9
Spain,1995,11.0
Spain,1996,10.8
Spain,1997,11.6
Spain,1998,11.5
Spain,1999,11.3
Spain,2000,11.8
Spain,2001,12.4
Spain,2002,10.7
Spain,2003,11.4
Spain,2004,11.7
Spain,2005,11.9
Spain,2006,11.9
Spain,2007,11.1
Spain,2008,10.2
Spain,2009,10.0
Spain,2010,9.8
Spain,2011,9.6
Spain,2012,9.4
Spain,2013,9.2
Spain,2014,9.5
Spain,2015,10.4
Spain,2016,10.9
Spain,2017,10.9
Spain,2018,10.4
Spain,2019,10.7
Spain,2020,8.7
Sweden,1995,6.2
Sweden,1996,6.0
Sweden,1997,5.9
Sweden,1998,5.8
Sweden,1999,6.1
Sweden,2000,6.2
Sweden,2001,6.5
Sweden,2002,6.9
Sweden,2003,6.9
Sweden,2004,6.5
Sweden,2005,6.5
Sweden,2006,6.8
Sweden,2007,7.0
Sweden,2008,7.0
Sweden,2009,7.3
Sweden,2010,7.4
Sweden,2011,7.3
Sweden,2012,7.2
Sweden,2013,7.3
Sweden,2014,7.2
Sweden,2015,7.1
Sweden,2016,7.2
Sweden,2017,7.0
Sweden,2018,7.2
Sweden,2019,7.1
Sweden,2020,7.5
Switzerland,1995,11.4
Switzerland,1996,11.3
Switzerland,1997,11.2
Switzerland,1998,11.1
Switzerland,1999,11.1
Switzerland,2000,11.2
Switzerland,2001,10.6
Switzerland,2002,10.3
Switzerland,2003,10.3
Switzerland,2004,10.1
Switzerland,2005,9.7
Switzerland,2006,9.7
Switzerland,2007,9.9
Switzerland,2008,9.9
Switzerland,2009,9.6
Switzerland,2010,9.7
Switzerland,2011,9.5
Switzerland,2012,9.3
Switzerland,2013,9.3
Switzerland,2014,9.1
Switzerland,2015,8.9
Switzerland,2016,8.7
Switzerland,2017,8.6
Switzerland,2018,8.5
Switzerland,2019,8.7
Switzerland,2020,8.5
Turkey,1995,1.7
Turkey,1996,1.6
Turkey,1997,1.6
Turkey,1998,1.6
Turkey,1999,1.6
Turkey,2000,1.5
Turkey,2001,1.4
Turkey,2002,1.4
Turkey,2003,1.5
Turkey,2004,1.4
Turkey,2005,1.3
Turkey,2006,1.2
Turkey,2007,1.3
Turkey,2008,1.5
Turkey,2009,1.5
Turkey,2010,1.5
Turkey,2011,1.5
Turkey,2012,1.6
Turkey,2013,1.4
Turkey,2014,1.5
Turkey,2015,1.4
Turkey,2016,1.3
Turkey,2017,1.4
Turkey,2018,1.4
Turkey,2019,1.3
Turkey,2020,1.2
United Kingdom,1995,9.3
United Kingdom,1996,9.8
United Kingdom,1997,10.0
United Kingdom,1998,9.8
United Kingdom,1999,10.3
United Kingdom,2000,10.4
United Kingdom,2001,10.8
United Kingdom,2002,11.1
United Kingdom,2003,11.3
United Kingdom,2004,11.6
United Kingdom,2005,11.4
United Kingdom,2006,11.0
United Kingdom,2007,11.1
United Kingdom,2008,10.8
United Kingdom,2009,10.1
United Kingdom,2010,10.1
United Kingdom,2011,9.9
United Kingdom,2012,9.6
United Kingdom,2013,9.4
United Kingdom,2014,9.4
United Kingdom,2015,9.5
United Kingdom,2016,9.5
United Kingdom,2017,9.7
United Kingdom,2018,9.8
United Kingdom,2019,9.7
United Kingdom,2020,9.7
United States of America,1995,8.1
United States of America,1996,8.2
United States of America,1997,8.1
United States of America,1998,8.1
United States of America,1999,8.2
United States of America,2000,8.3
United States of America,2001,8.3
United States of America,2002,8.3
United States of America,2003,8.4
United States of America,2004,8.5
United States of America,2005,8.5
United States of America,2006,8.6
United States of America,2007,8.7
United States of America,2008,8.7
United States of America,2009,8.7
United States of America,2010,8.6
United States of America,2011,8.7
United States of America,2012,8.9
United States of America,2013,8.8
United States of America,2014,8.8
United States of America,2015,8.8
United States of America,2016,8.9
United States of America,2017,8.9
United States of America,2018,8.9
United States of America,2019,9.0
United States of America,2020,9.2
