Variable,Country,Year,Value
Total fat supply,Greece,1999,148.0
Total fat supply,Greece,2000,141.5
Total fat supply,Greece,2001,142.2
Total fat supply,Greece,2002,146.9
Total fat supply,Greece,2003,147.0
Total fat supply,Greece,2004,148.5
Total fat supply,Greece,2005,149.2
Total fat supply,Greece,2006,148.2
Total fat supply,Greece,2007,149.3
Total fat supply,Greece,2008,152.5
Total fat supply,Greece,2009,153.9
Total fat supply,Greece,2010,152.8
Total fat supply,Greece,2011,154.3
Total fat supply,Greece,2012,149.1
Total fat supply,Greece,2013,147.0
Total fat supply,Greece,2014,152.2
Total fat supply,Greece,2015,148.2
Total fat supply,Greece,2016,147.5
Total fat supply,Greece,2017,149.0
Total fat supply,Greece,2018,153.5
Total fat supply,Greece,2019,161.7
Total fat supply,Greece,2020,155.7
Total fat supply,Hungary,1995,125.3
Total fat supply,Hungary,1996,124.3
Total fat supply,Hungary,1997,123.2
Total fat supply,Hungary,1998,126.3
Total fat supply,Hungary,1999,123.9
Total fat supply,Hungary,2000,134.5
Total fat supply,Hungary,2001,129.4
Total fat supply,Hungary,2002,136.0
Total fat supply,Hungary,2003,129.2
Total fat supply,Hungary,2004,133.7
Total fat supply,Hungary,2005,138.4
Total fat supply,Hungary,2006,139.1
Total fat supply,Hungary,2007,139.6
Total fat supply,Hungary,2008,139.1
Total fat supply,Hungary,2009,136.7
Total fat supply,Hungary,2010,136.7
Total fat supply,Hungary,2011,136.0
Total fat supply,Hungary,2012,132.7
Total fat supply,Hungary,2013,137.6
Total fat supply,Hungary,2014,138.1
Total fat supply,Hungary,2015,147.8
Total fat supply,Hungary,2016,149.6
Total fat supply,Hungary,2017,152.0
Total fat supply,Hungary,2018,157.6
Total fat supply,Hungary,2019,148.8
Total fat supply,Hungary,2020,151.3
Total fat supply,Iceland,1995,117.3
Total fat supply,Iceland,1996,114.5
Total fat supply,Iceland,1997,119.8
Total fat supply,Iceland,1998,122.7
Total fat supply,Iceland,1999,128.2
Total fat supply,Iceland,2000,129.8
Total fat supply,Iceland,2001,128.0
Total fat supply,Iceland,2002,137.9
Total fat supply,Iceland,2003,138.9
Total fat supply,Iceland,2004,144.6
Total fat supply,Iceland,2005,144.6
Total fat supply,Iceland,2006,149.1
Total fat supply,Iceland,2007,151.3
Total fat supply,Iceland,2008,149.7
Total fat supply,Iceland,2009,146.4
Total fat supply,Iceland,2010,145.2
Total fat supply,Iceland,2011,147.2
Total fat supply,Iceland,2012,148.9
Total fat supply,Iceland,2013,152.4
Total fat supply,Iceland,2014,158.7
Total fat supply,Iceland,2015,164.1
Total fat supply,Iceland,2016,164.1
Total fat supply,Iceland,2017,168.3
Total fat supply,Iceland,2018,166.9
Total fat supply,Iceland,2019,176.1
Total fat supply,Iceland,2020,175.0
Total fat supply,Ireland,1995,126.3
Total fat supply,Ireland,1996,129.8
Total fat supply,Ireland,1997,140.6
Total fat supply,Ireland,1998,140.1
Total fat supply,Ireland,1999,139.4
Total fat supply,Ireland,2000,139.8
Total fat supply,Ireland,2001,135.9
Total fat supply,Ireland,2002,133.9
Total fat supply,Ireland,2003,133.7
Total fat supply,Ireland,2004,134.5
Total fat supply,Ireland,2005,134.1
Total fat supply,Ireland,2006,125.4
Total fat supply,Ireland,2007,129.5
Total fat supply,Ireland,2008,133.2
Total fat supply,Ireland,2009,130.2
Total fat supply,Ireland,2010,130.6
Total fat supply,Ireland,2011,130.3
Total fat supply,Ireland,2012,130.5
Total fat supply,Ireland,2013,126.3
Total fat supply,Ireland,2014,131.5
Total fat supply,Ireland,2015,136.5
Total fat supply,Ireland,2016,135.1
Total fat supply,Ireland,2017,149.0
Total fat supply,Ireland,2018,148.2
Total fat supply,Ireland,2019,149.0
Total fat supply,Ireland,2020,162.6
Total fat supply,Italy,1995,146.8
Total fat supply,Italy,1996,148.7
Total fat supply,Italy,1997,149.8
Total fat supply,Italy,1998,156.9
Total fat supply,Italy,1999,159.2
Total fat supply,Italy,2000,153.7
Total fat supply,Italy,2001,155.2
Total fat supply,Italy,2002,155.4
Total fat supply,Italy,2003,152.5
Total fat supply,Italy,2004,150.1
Total fat supply,Italy,2005,147.9
Total fat supply,Italy,2006,156.5
Total fat supply,Italy,2007,156.4
Total fat supply,Italy,2008,155.9
Total fat supply,Italy,2009,152.7
Total fat supply,Italy,2010,156.5
Total fat supply,Italy,2011,157.6
Total fat supply,Italy,2012,157.9
Total fat supply,Italy,2013,154.8
Total fat supply,Italy,2014,148.7
Total fat supply,Italy,2015,146.0
Total fat supply,Italy,2016,146.6
Total fat supply,Italy,2017,146.9
Total fat supply,Italy,2018,145.4
Total fat supply,Italy,2019,149.9
Total fat supply,Italy,2020,153.2
Total fat supply,Japan,1995,85.5
Total fat supply,Japan,1996,89.8
Total fat supply,Japan,1997,89.7
Total fat supply,Japan,1998,88.5
Total fat supply,Japan,1999,88.7
Total fat supply,Japan,2000,90.2
Total fat supply,Japan,2001,89.9
Total fat supply,Japan,2002,88.6
Total fat supply,Japan,2003,88.1
Total fat supply,Japan,2004,90.2
Total fat supply,Japan,2005,90.6
Total fat supply,Japan,2006,89.4
Total fat supply,Japan,2007,89.0
Total fat supply,Japan,2008,88.8
Total fat supply,Japan,2009,85.5
Total fat supply,Japan,2010,86.2
Total fat supply,Japan,2011,85.7
Total fat supply,Japan,2012,86.6
Total fat supply,Japan,2013,86.5
Total fat supply,Japan,2014,87.1
Total fat supply,Japan,2015,87.5
Total fat supply,Japan,2016,86.5
Total fat supply,Japan,2017,89.4
Total fat supply,Japan,2018,89.1
Total fat supply,Japan,2019,91.9
Total fat supply,Japan,2020,90.7
Total fat supply,South Korea,1995,64.3
Total fat supply,South Korea,1996,68.1
Total fat supply,South Korea,1997,71.7
Total fat supply,South Korea,1998,73.6
Total fat supply,South Korea,1999,75.3
Total fat supply,South Korea,2000,78.1
Total fat supply,South Korea,2001,75.9
Total fat supply,South Korea,2002,78.1
Total fat supply,South Korea,2003,84.0
Total fat supply,South Korea,2004,84.8
Total fat supply,South Korea,2005,85.2
Total fat supply,South Korea,2006,87.1
Total fat supply,South Korea,2007,90.4
Total fat supply,South Korea,2008,92.6
Total fat supply,South Korea,2009,97.0
Total fat supply,South Korea,2010,101.0
Total fat supply,South Korea,2011,98.9
Total fat supply,South Korea,2012,103.7
Total fat supply,South Korea,2013,102.7
Total fat supply,South Korea,2014,109.6
Total fat supply,South Korea,2015,112.3
Total fat supply,South Korea,2016,113.3
Total fat supply,South Korea,2017,116.8
Total fat supply,South Korea,2018,119.8
Total fat supply,South Korea,2019,124.7
Total fat supply,South Korea,2020,126.5
Total fat supply,Luxembourg,2000,144.5
Total fat supply,Luxembourg,2001,152.7
Total fat supply,Luxembourg,2002,151.0
Total fat supply,Luxembourg,2003,152.3
Total fat supply,Luxembourg,2004,155.7
Total fat supply,Luxembourg,2005,151.9
Total fat supply,Luxembourg,2006,146.6
Total fat supply,Luxembourg,2007,145.1
Total fat supply,Luxembourg,2008,146.2
Total fat supply,Luxembourg,2009,143.8
Total fat supply,Luxembourg,2010,140.3
Total fat supply,Luxembourg,2011,137.7
Total fat supply,Luxembourg,2012,140.4
Total fat supply,Luxembourg,2013,141.9
Total fat supply,Luxembourg,2014,138.0
Total fat supply,Luxembourg,2015,139.8
Total fat supply,Luxembourg,2016,140.1
Total fat supply,Luxembourg,2017,142.0
Total fat supply,Luxembourg,2018,143.6
Total fat supply,Luxembourg,2019,149.3
Total fat supply,Luxembourg,2020,142.5
Total fat supply,Mexico,1995,80.5
Total fat supply,Mexico,1996,82.8
Total fat supply,Mexico,1997,83.5
Total fat supply,Mexico,1998,83.4
Total fat supply,Mexico,1999,81.8
Total fat supply,Mexico,2000,83.2
Total fat supply,Mexico,2001,84.9
Total fat supply,Mexico,2002,87.2
Total fat supply,Mexico,2003,86.9
Total fat supply,Mexico,2004,89.4
Total fat supply,Mexico,2005,90.9
Total fat supply,Mexico,2006,89.2
Total fat supply,Mexico,2007,91.1
Total fat supply,Mexico,2008,91.1
Total fat supply,Mexico,2009,89.8
Total fat supply,Mexico,2010,96.2
Total fat supply,Mexico,2011,96.9
Total fat supply,Mexico,2012,97.6
Total fat supply,Mexico,2013,97.5
Total fat supply,Mexico,2014,97.3
Total fat supply,Mexico,2015,98.8
Total fat supply,Mexico,2016,100.2
Total fat supply,Mexico,2017,101.0
Total fat supply,Mexico,2018,103.4
Total fat supply,Mexico,2019,105.6
Total fat supply,Mexico,2020,103.8
Total fat supply,Netherlands,1995,145.9
Total fat supply,Netherlands,1996,148.8
Total fat supply,Netherlands,1997,146.8
Total fat supply,Netherlands,1998,156.4
Total fat supply,Netherlands,1999,148.0
Total fat supply,Netherlands,2000,146.2
Total fat supply,Netherlands,2001,143.7
Total fat supply,Netherlands,2002,144.0
Total fat supply,Netherlands,2003,130.4
Total fat supply,Netherlands,2004,133.4
Total fat supply,Netherlands,2005,140.1
Total fat supply,Netherlands,2006,132.4
Total fat supply,Netherlands,2007,131.6
Total fat supply,Netherlands,2008,132.7
Total fat supply,Netherlands,2009,127.0
Total fat supply,Netherlands,2010,125.0
Total fat supply,Netherlands,2011,122.3
Total fat supply,Netherlands,2012,124.1
Total fat supply,Netherlands,2013,125.4
Total fat supply,Netherlands,2014,126.7
Total fat supply,Netherlands,2015,128.0
Total fat supply,Netherlands,2016,130.2
Total fat supply,Netherlands,2017,126.6
Total fat supply,Netherlands,2018,139.4
Total fat supply,Netherlands,2019,134.3
Total fat supply,Netherlands,2020,140.4
Total fat supply,New Zealand,1995,123.4
Total fat supply,New Zealand,1996,122.0
Total fat supply,New Zealand,1997,121.9
Total fat supply,New Zealand,1998,113.6
Total fat supply,New Zealand,1999,113.7
Total fat supply,New Zealand,2000,114.2
Total fat supply,New Zealand,2001,112.4
Total fat supply,New Zealand,2002,115.1
Total fat supply,New Zealand,2003,114.1
Total fat supply,New Zealand,2004,117.8
Total fat supply,New Zealand,2005,118.9
Total fat supply,New Zealand,2006,118.5
Total fat supply,New Zealand,2007,121.0
Total fat supply,New Zealand,2008,120.9
Total fat supply,New Zealand,2009,116.2
Total fat supply,New Zealand,2010,116.6
Total fat supply,New Zealand,2011,132.5
Total fat supply,New Zealand,2012,119.6
Total fat supply,New Zealand,2013,124.6
Total fat supply,New Zealand,2014,114.3
Total fat supply,New Zealand,2015,113.5
Total fat supply,New Zealand,2016,114.0
Total fat supply,New Zealand,2017,113.9
Total fat supply,New Zealand,2018,118.4
Total fat supply,New Zealand,2019,117.0
Total fat supply,New Zealand,2020,122.5
Total fat supply,Norway,1995,133.0
Total fat supply,Norway,1996,136.4
Total fat supply,Norway,1997,135.3
Total fat supply,Norway,1998,141.7
Total fat supply,Norway,1999,140.7
Total fat supply,Norway,2000,139.3
Total fat supply,Norway,2001,142.1
Total fat supply,Norway,2002,145.7
Total fat supply,Norway,2003,145.8
Total fat supply,Norway,2004,151.3
Total fat supply,Norway,2005,156.6
Total fat supply,Norway,2006,149.2
Total fat supply,Norway,2007,148.3
Total fat supply,Norway,2008,147.2
Total fat supply,Norway,2009,147.3
Total fat supply,Norway,2010,143.9
Total fat supply,Norway,2011,144.9
Total fat supply,Norway,2012,143.6
Total fat supply,Norway,2013,140.7
Total fat supply,Norway,2014,143.4
Total fat supply,Norway,2015,142.1
Total fat supply,Norway,2016,142.0
Total fat supply,Norway,2017,138.5
Total fat supply,Norway,2018,137.8
Total fat supply,Norway,2019,138.2
Total fat supply,Norway,2020,135.9
Total fat supply,Poland,1995,111.1
Total fat supply,Poland,1996,111.7
Total fat supply,Poland,1997,110.3
Total fat supply,Poland,1998,113.8
Total fat supply,Poland,1999,114.3
Total fat supply,Poland,2000,113.4
Total fat supply,Poland,2001,114.0
Total fat supply,Poland,2002,116.3
Total fat supply,Poland,2003,114.7
Total fat supply,Poland,2004,113.2
Total fat supply,Poland,2005,113.3
Total fat supply,Poland,2006,112.4
Total fat supply,Poland,2007,111.9
Total fat supply,Poland,2008,112.2
Total fat supply,Poland,2009,116.5
Total fat supply,Poland,2010,121.0
Total fat supply,Poland,2011,124.1
Total fat supply,Poland,2012,123.1
Total fat supply,Poland,2013,118.9
Total fat supply,Poland,2014,119.2
Total fat supply,Poland,2015,122.4
Total fat supply,Poland,2016,123.9
Total fat supply,Poland,2017,124.1
Total fat supply,Poland,2018,128.0
Total fat supply,Poland,2019,129.9
Total fat supply,Poland,2020,133.2
Total fat supply,Portugal,1995,123.3
Total fat supply,Portugal,1996,127.6
Total fat supply,Portugal,1997,124.0
Total fat supply,Portugal,1998,125.7
Total fat supply,Portugal,1999,133.2
Total fat supply,Portugal,2000,133.8
Total fat supply,Portugal,2001,133.1
Total fat supply,Portugal,2002,134.9
Total fat supply,Portugal,2003,134.2
Total fat supply,Portugal,2004,132.4
Total fat supply,Portugal,2005,136.0
Total fat supply,Portugal,2006,136.5
Total fat supply,Portugal,2007,139.5
Total fat supply,Portugal,2008,143.8
Total fat supply,Portugal,2009,142.3
Total fat supply,Portugal,2010,138.3
Total fat supply,Portugal,2011,139.9
Total fat supply,Portugal,2012,135.5
Total fat supply,Portugal,2013,134.6
Total fat supply,Portugal,2014,133.2
Total fat supply,Portugal,2015,138.1
Total fat supply,Portugal,2016,134.0
Total fat supply,Portugal,2017,134.0
Total fat supply,Portugal,2018,138.0
Total fat supply,Portugal,2019,146.3
Total fat supply,Portugal,2020,147.6
Total fat supply,Slovakia,1995,102.6
Total fat supply,Slovakia,1996,97.6
Total fat supply,Slovakia,1997,99.3
Total fat supply,Slovakia,1998,105.5
Total fat supply,Slovakia,1999,105.7
Total fat supply,Slovakia,2000,97.2
Total fat supply,Slovakia,2001,105.3
Total fat supply,Slovakia,2002,105.3
Total fat supply,Slovakia,2003,105.6
Total fat supply,Slovakia,2004,104.6
Total fat supply,Slovakia,2005,101.3
Total fat supply,Slovakia,2006,104.9
Total fat supply,Slovakia,2007,101.1
Total fat supply,Slovakia,2008,97.3
Total fat supply,Slovakia,2009,108.2
Total fat supply,Slovakia,2010,115.8
Total fat supply,Slovakia,2011,114.4
Total fat supply,Slovakia,2012,114.6
Total fat supply,Slovakia,2013,120.3
Total fat supply,Slovakia,2014,118.8
Total fat supply,Slovakia,2015,120.8
Total fat supply,Slovakia,2016,127.0
Total fat supply,Slovakia,2017,135.1
Total fat supply,Slovakia,2018,139.3
Total fat supply,Slovakia,2019,149.0
Total fat supply,Slovakia,2020,149.9
Total fat supply,Spain,1995,141.0
Total fat supply,Spain,1996,151.5
Total fat supply,Spain,1997,146.1
Total fat supply,Spain,1998,151.1
Total fat supply,Spain,1999,149.4
Total fat supply,Spain,2000,155.1
Total fat supply,Spain,2001,152.6
Total fat supply,Spain,2002,153.8
Total fat supply,Spain,2003,149.3
Total fat supply,Spain,2004,145.4
Total fat supply,Spain,2005,146.0
Total fat supply,Spain,2006,144.9
Total fat supply,Spain,2007,147.3
Total fat supply,Spain,2008,144.2
Total fat supply,Spain,2009,144.3
Total fat supply,Spain,2010,143.6
Total fat supply,Spain,2011,144.0
Total fat supply,Spain,2012,143.3
Total fat supply,Spain,2013,143.3
Total fat supply,Spain,2014,141.4
Total fat supply,Spain,2015,147.2
Total fat supply,Spain,2016,149.9
Total fat supply,Spain,2017,152.4
Total fat supply,Spain,2018,152.4
Total fat supply,Spain,2019,153.4
Total fat supply,Spain,2020,155.1
Total fat supply,Sweden,1995,132.9
Total fat supply,Sweden,1996,123.8
Total fat supply,Sweden,1997,129.0
Total fat supply,Sweden,1998,123.8
Total fat supply,Sweden,1999,124.6
Total fat supply,Sweden,2000,123.0
Total fat supply,Sweden,2001,124.6
Total fat supply,Sweden,2002,125.0
Total fat supply,Sweden,2003,123.6
Total fat supply,Sweden,2004,125.2
Total fat supply,Sweden,2005,124.3
Total fat supply,Sweden,2006,122.0
Total fat supply,Sweden,2007,121.9
Total fat supply,Sweden,2008,125.6
Total fat supply,Sweden,2009,127.3
Total fat supply,Sweden,2010,129.8
Total fat supply,Sweden,2011,132.3
Total fat supply,Sweden,2012,134.4
Total fat supply,Sweden,2013,130.5
Total fat supply,Sweden,2014,135.0
Total fat supply,Sweden,2015,136.5
Total fat supply,Sweden,2016,138.0
Total fat supply,Sweden,2017,135.0
Total fat supply,Sweden,2018,132.8
Total fat supply,Sweden,2019,131.8
Total fat supply,Sweden,2020,134.2
Total fat supply,Switzerland,1995,148.5
Total fat supply,Switzerland,1996,148.3
Total fat supply,Switzerland,1997,146.0
Total fat supply,Switzerland,1998,149.4
Total fat supply,Switzerland,1999,147.6
Total fat supply,Switzerland,2000,149.9
Total fat supply,Switzerland,2001,150.6
Total fat supply,Switzerland,2002,154.2
Total fat supply,Switzerland,2003,154.0
Total fat supply,Switzerland,2004,152.9
Total fat supply,Switzerland,2005,153.8
Total fat supply,Switzerland,2006,158.0
Total fat supply,Switzerland,2007,155.7
Total fat supply,Switzerland,2008,158.7
Total fat supply,Switzerland,2009,156.7
Total fat supply,Switzerland,2010,156.9
Total fat supply,Switzerland,2011,158.5
Total fat supply,Switzerland,2012,151.3
Total fat supply,Switzerland,2013,153.5
Total fat supply,Switzerland,2014,156.9
Total fat supply,Switzerland,2015,159.1
Total fat supply,Switzerland,2016,155.2
Total fat supply,Switzerland,2017,154.8
Total fat supply,Switzerland,2018,157.9
Total fat supply,Switzerland,2019,158.2
Total fat supply,Switzerland,2020,160.2
Total fat supply,Turkey,1995,96.2
Total fat supply,Turkey,1996,99.2
Total fat supply,Turkey,1997,98.3
Total fat supply,Turkey,1998,95.2
Total fat supply,Turkey,1999,93.9
Total fat supply,Turkey,2000,100.1
Total fat supply,Turkey,2001,95.2
Total fat supply,Turkey,2002,97.3
Total fat supply,Turkey,2003,99.0
Total fat supply,Turkey,2004,104.8
Total fat supply,Turkey,2005,105.0
Total fat supply,Turkey,2006,108.2
Total fat supply,Turkey,2007,113.5
Total fat supply,Turkey,2008,110.3
Total fat supply,Turkey,2009,112.5
Total fat supply,Turkey,2010,111.3
Total fat supply,Turkey,2011,114.6
Total fat supply,Turkey,2012,119.9
Total fat supply,Turkey,2013,120.4
Total fat supply,Turkey,2014,117.6
Total fat supply,Turkey,2015,121.3
Total fat supply,Turkey,2016,119.6
Total fat supply,Turkey,2017,123.1
Total fat supply,Turkey,2018,125.6
Total fat supply,Turkey,2019,126.7
Total fat supply,Turkey,2020,125.4
Total fat supply,United Kingdom,1995,137.2
Total fat supply,United Kingdom,1996,140.4
Total fat supply,United Kingdom,1997,140.9
Total fat supply,United Kingdom,1998,141.5
Total fat supply,United Kingdom,1999,142.5
Total fat supply,United Kingdom,2000,140.8
Total fat supply,United Kingdom,2001,141.8
Total fat supply,United Kingdom,2002,135.4
Total fat supply,United Kingdom,2003,133.4
Total fat supply,United Kingdom,2004,137.6
Total fat supply,United Kingdom,2005,139.4
Total fat supply,United Kingdom,2006,147.2
Total fat supply,United Kingdom,2007,140.8
Total fat supply,United Kingdom,2008,140.1
Total fat supply,United Kingdom,2009,139.7
Total fat supply,United Kingdom,2010,143.2
Total fat supply,United Kingdom,2011,139.0
Total fat supply,United Kingdom,2012,139.5
Total fat supply,United Kingdom,2013,139.4
Total fat supply,United Kingdom,2014,138.8
Total fat supply,United Kingdom,2015,139.6
Total fat supply,United Kingdom,2016,137.9
Total fat supply,United Kingdom,2017,139.8
